Team Names	Points per Game	Average Scoring Margin	Yards per Point	Yards per Point Margin	Points per Play	Points per Play Margin	Touchdowns per Game	Red Zone Scoring Attempts per Game	Red Zone Scores per Game (TDs only)	Red Zone Scoring Percentage (TD only)	Extra Point Attempts per Game	Extra Points Made per Game	Two Point Conversion Attempts per Game	Two Point Conversions per Game	Points per Field Goal Attempt	Extra Point Conversion Percentage	Two Point Conversion Percentage	Offensive Touchdowns per Game	Defensive Touchdowns per Game	Special Teams Touchdowns per Game	Offensive Points per Game (Estimated)	Defensive Points per Game (Estimated)	Special Teams Points per Game (Estimated)	Offensive Point Share Percentage (Estimated)	1st Quarter Points/Game	2nd Quarter Points/Game	3rd Quarter Points/Game	4th Quarter Points/Game	Overtime Points/Game	1st Half Points/Game	2nd Half Points/Game	1st Quarter Time of Possession Share %	2nd Quarter Time of Possession Share %	3rd Quarter Time of Possession Share %	4th Quarter Time of Possession Share %	1st Half Time of Possession Share %	2nd Half Time of Possession Share %	Yards per Game	Plays per Game	Yards per Play	First Downs per Game	Third Downs per Game	Third Down Conversions per Game	Fourth Downs per Game	Fourth Down Conversions per Game	Average Time of Possession (Excluding OT)	Time of Possession Percentage (Net of OT)	First Downs per Play	Third Down Conversion Percentage	Fourth Down Conversion Percentage	Punts per Play	Punts per Offensive Score	Rushing Attempts per Game	Rushing Yards per Game	Rushing First Downs per Game	Rushing Touchdowns per Game	Yards per Rush Attempt	Rushing Play Percentage 	Rushing Touchdown Percentage	Rushing First Down Percentage	Rushing Yards Percentage	Pass Attempts per Game	Completions per Game	Incompletions per Game	Completion Percentage	Passing Yards per Game	Yards per Pass Attempt	Yards per Completion	Passing Touchdowns per Game	Passing Touchdown Percentage	QB Sacked per Game	QB Sacked Percentage	Passing First Downs per Game	Passing First Down Percentage	Average Team Passer Rating	Passing Play Percentage	Passing Yards Percentage	Non-Offensive Touchdowns per Game	Field Goal Attempts per Game	Field Goals Made per Game	Field Goals Got Blocked per Game	Punt Attempts per Game	Punts Got Blocked per Game	Gross Punt Yards per Game	Net Punt Yards per Game	Kickoffs per Game	Touchbacks per Game	Kickoff Touchback Percentage	Field Goal Conversion Percentage	Field Goal Got Blocked Percentage	Field Goal Conversion Percentage (Excluding Blocks) 	Punt Blocked Percentage	Net Yards per Punt Attempt	Gross Yards per Successful Punt	Net Yards per Successful Punt	Opponent Points per Game	Opp Yards per Point	Opponent Points per Play	Opponent Touchdowns per Game	Opponent Red Zone Scoring Attempts per Game	Opponent Red Zone Scores per Game (TDs only)	Opponent Red Zone Scoring Percentage (TD only)	Opponent Extra Point Attempts per Game	Opponent Extra Points Made per Game	Opponent Two Point Conversion Attempts per Game	Opponent Two Point Conversions per Game	Opponent Points per Field Goal Attempt	Opponent Extra Point Conversion Percentage	Opponent Two Point Conversion Percentage	Opponent Offensive Touchdowns per Game	Opponent Defensive Touchdowns per Game	Opponent Special Teams Touchdowns per Game	Opponent Offensive Points per Game (Estimated)	Opponent Defensive Points per Game (Estimated)	Opponent Special Teams Points per Game (Estimated)	Opponent Offensive Point Share Percentage (Estimated)	Opp 1st Quarter Points/Game	Opp 2nd Quarter Points/Game	Opp 3rd Quarter Points/Game	Opp 4th Quarter Points/Game	Opp Overtime Points/Game	Opponent 1st Half Points/Game	Opponent 2nd Half Points/Game	Opponent Yards per Game	Opponent Plays per Game	Opponent Yards per Play	Opponent First Downs per Game	Opponent Third Downs per Game	Opponent Third Down Conversions per Game	Opponent Fourth Downs per Game	Opponent Fourth Down Conversions per Game	Opponent Average Time of Possession (Net of OT)	Opponent Time of Possession Percentage (Net of OT)	Opponent First Downs per Play	Opponent Third Down Conversion Percentage	Opponent Fourth Down Conversion Percentage	Opponent Punts per Play	Opponent Punts per Offensive Score	Opponent Rushing Attempts per Game	Opponent Rushing Yards per Game	Opponent Rushing First Downs per Game	Opponent Rushing Touchdowns per Game	Opponent Yards per Rush Attempt	Opponent Rushing Play Percentage 	Opponent Rushing Touchdown Percentage	Opponent Rushing First Down Percentage	Opponent Rushing Yards Percentage	Opponent Pass Attempts per Game	Opponent Completions per Game	Opponent Incompletions per Game	Opponent Completion Percentage	Opponent Passing Yards per Game	Opponent Yards per Pass Attempt	Opponent Yards per Completion	Opponent Passing First Downs per Game	Opponent Passing Touchdowns per Game	Opponent Passing Touchdown Percentage	Opponent Average Team Passer Rating	Sack Percentage	Opponent Passing Play Percentage	Opponent Passing Yards Percentage	Sacks per Game	Opponent Passing First Down Percentage	Opponent Non-Offensive Touchdowns per Game	Opponent Field Goal Attempts per Game	Opponent Field Goals Made per Game	Field Goals Blocked per Game	Opponent Punt Attempts per Game	Punts Blocked per Game	Opponent Gross Punt Yards per Game	Opponent Net Punt Yards per Game	Opponent Kickoffs per Game	Opponent Touchbacks per Game	Opponent Kickoff Touchback Percentage	Opponent Field Goal Conversion Percentage	Block Field Goal Percentage	Opponent Field Goal Conversion Percentage (Net of Blocks) 	Block Punt Percentage	Opponent Net Yards per Punt Attempt	Opponent Gross Yards per Successful Punt	Opponent Net Yards per Successful Punt	Interceptions Thrown per Game	Fumbles per Game	Fumbles Lost per Game	Fumbles Not Lost per Game	Safeties per Game	Giveaways per Game	Turnover Margin per Game	Opponent Interceptions Thrown per Game	Opponent Fumbles per Game	Opponent Fumbles Lost per Game	Opponent Fumbles Not Lost per Game	Opponent Safeties per Game	Takeaways per Game	Interceptions Thrown Percentage	Fumble Recovery Percentage	Giveaway Fumble Recovery Percentage	Takeaway Fumble Recovery Percentage	Opponent Interceptions Thrown Percentage	Opponent Fumble Recovery Percentage	Opponent Giveaway Fumble Recovery Percentage	Opponent Takeaway Fumble Recovery Percentage	Penalties per Game	Penalty Yards per Game	Penalty First Downs per Game	Opponent Penalties per Game	Opponent Penalty Yards per Game	Opponent Penalty First Downs per Game	Penalty Yards per Penalty	Penalties per Play	Opponent Penalty Yards per Penalty	Opponent Penalties per Play
Baltimore	33.7	+15.4	12.2	5.0	0.510	0.196	4.1	4.1	2.8	68.42%	3.8	3.6	0.4	0.1	2.9	96.23%	40.00%	3.8	0.4	0.0	31.4	2.5	0.0	92.6%	8.7	9.4	7.1	8.3	0.2	18.1	15.4	58.67%	46.06%	58.37%	65.01%	52.37%	61.91%	409.7	66.1	6.2	24.0	11.4	5.3	1.5	1.1	34:12	57.03%	0.363	46.25%	76.19%	0.04	0.4	36.6	202.1	11.2	1.4	5.5	55.35%	32.76%	46.73%	49.34%	27.7	18.4	9.3	66.49%	207.6	7.5	11.3	2.4	58.62%	1.8	6.05%	11.1	46.13%	111.6	44.65%	50.66%	0.4	1.7	1.6	0.0	2.6	0.1	115.2	101.8	6.6	3.5	52.69%	95.83%	0.00%	95.83%	2.78%	39.6	46.1	40.7	18.4	17.1	0.314	1.9	2.9	1.3	45.00%	1.6	1.4	0.3	0.2	2.6	90.91%	75.00%	1.7	0.0	0.1	17.4	0.0	1.0	94.6%	2.2	7.9	3.1	5.1	0.0	10.1	8.3	314.3	58.4	5.4	17.8	12.1	4.6	1.2	0.4	25:47	42.97%	0.304	37.65%	35.29%	0.07	1.1	21.3	96.1	4.9	0.8	4.5	36.43%	42.31%	27.31%	30.59%	34.7	20.6	14.1	59.47%	218.1	6.3	10.6	10.6	0.9	50.00%	78.5	6.54%	63.57%	69.41%	2.4	59.44%	0.1	2.1	1.8	0.1	3.9	0.0	180.4	162.1	4.6	2.8	60.00%	86.21%	6.90%	92.59%	0.00%	42.0	46.8	42.0	0.5	1.0	0.4	0.6	0.0	0.9	+0.7	0.9	1.4	0.7	0.6	0.0	1.6	1.80%	57.58%	64.29%	52.63%	2.47%	42.42%	47.37%	35.71%	6.9	55.9	1.7	6.0	49.0	2.4	8.1	0.06	8.2	0.05
Kansas City	28.1	+7.9	13.7	3.9	0.455	0.143	3.1	3.2	1.6	51.11%	2.9	2.8	0.1	0.1	2.7	95.12%	50.00%	2.9	0.2	0.0	26.6	1.5	0.0	94.7%	5.7	11.4	6.4	4.6	0.0	17.1	11.0	47.33%	53.63%	49.09%	47.09%	50.48%	48.09%	384.4	61.8	6.2	22.1	11.9	5.4	0.7	0.4	29:34	49.28%	0.357	45.78%	60.00%	0.05	0.6	23.1	92.9	5.6	0.9	4.0	37.34%	30.23%	25.24%	24.18%	37.0	24.2	12.8	65.44%	291.4	7.9	12.0	1.9	62.79%	1.7	4.43%	13.6	61.81%	105.1	62.66%	75.82%	0.2	2.5	2.2	0.1	3.2	0.1	137.9	129.9	6.1	3.9	63.95%	88.57%	2.86%	91.18%	2.22%	40.4	43.9	41.3	20.3	17.6	0.312	2.4	3.7	1.9	50.00%	1.7	1.4	0.6	0.2	2.4	83.33%	33.33%	2.3	0.1	0.0	20.3	0.5	0.0	97.6%	5.7	4.3	3.4	6.9	0.0	10.0	10.3	356.7	65.0	5.5	21.5	12.5	4.4	1.7	1.0	30:25	50.72%	0.331	35.43%	58.33%	0.06	1.0	26.4	131.6	7.1	0.9	5.0	40.55%	39.39%	33.22%	36.88%	35.9	21.6	14.2	60.36%	225.1	6.3	10.4	12.0	1.4	57.58%	82.0	7.21%	59.45%	63.12%	2.8	55.81%	0.1	1.8	1.4	0.1	3.7	0.0	161.9	146.8	4.7	2.1	45.45%	80.00%	4.00%	83.33%	0.00%	39.5	43.6	39.5	0.3	1.4	0.7	0.7	0.0	1.0	+0.5	1.0	1.4	0.5	0.9	0.0	1.5	0.77%	43.59%	50.00%	36.84%	2.79%	56.41%	63.16%	50.00%	6.6	65.6	2.9	7.2	53.9	2.4	9.9	0.05	7.5	0.06
San Francisco	29.9	+11.5	12.8	1.8	0.461	0.149	3.5	3.9	2.0	51.85%	3.1	3.1	0.1	0.1	2.2	97.73%	100.00%	3.2	0.3	0.0	28.1	2.0	0.0	93.3%	6.6	7.9	7.6	7.8	0.0	14.6	15.4	50.12%	46.82%	58.23%	58.32%	48.47%	57.59%	383.2	64.9	5.9	21.4	13.0	5.9	0.9	0.5	32:01	53.37%	0.329	45.05%	58.33%	0.05	0.6	32.2	147.0	7.1	1.3	4.6	49.67%	36.73%	33.11%	38.36%	30.6	21.2	9.4	69.23%	236.2	7.7	11.1	1.9	55.10%	2.0	6.13%	12.2	57.19%	104.0	50.33%	61.64%	0.3	2.5	1.9	0.1	3.2	0.0	144.3	133.3	6.1	2.9	46.51%	74.29%	5.71%	78.79%	0.00%	41.5	44.9	41.5	18.4	14.6	0.312	2.1	2.4	1.3	54.55%	1.6	1.6	0.6	0.3	2.7	95.65%	44.44%	1.9	0.2	0.0	16.9	1.6	0.0	91.2%	4.2	4.4	4.4	5.2	0.2	8.6	9.6	269.0	59.1	4.6	16.7	11.8	3.6	1.6	0.5	27:58	46.63%	0.283	30.91%	31.82%	0.08	1.4	24.8	114.6	6.6	0.6	4.6	41.96%	26.67%	39.74%	42.62%	30.9	19.0	11.9	61.43%	154.4	5.0	8.1	8.3	1.4	63.33%	81.5	9.79%	58.04%	57.38%	3.4	49.57%	0.2	1.3	1.1	0.0	4.7	0.0	224.2	197.2	4.1	2.8	68.42%	88.89%	0.00%	88.89%	0.00%	41.8	47.6	41.8	0.8	1.1	0.7	0.4	0.0	1.5	+0.4	0.8	1.8	1.1	0.7	0.1	1.9	2.56%	51.22%	37.50%	60.00%	2.54%	48.78%	40.00%	62.50%	6.7	61.1	2.1	7.4	63.2	1.8	9.1	0.05	8.5	0.06
Tampa Bay	29.7	+1.3	13.5	-1.2	0.430	-0.001	3.5	3.6	2.3	64.00%	3.1	2.8	0.4	0.3	2.6	88.64%	80.00%	3.1	0.4	0.0	27.4	2.5	0.0	91.6%	7.4	9.5	4.8	8.1	0.0	16.9	12.9	54.08%	51.74%	52.61%	51.33%	52.91%	51.53%	400.1	69.1	5.8	22.9	13.7	5.7	1.1	0.6	31:27	52.44%	0.331	41.67%	53.33%	0.05	0.7	26.2	91.4	5.1	1.0	3.5	37.91%	28.57%	22.50%	22.83%	39.9	24.6	15.3	61.65%	308.8	7.7	12.6	2.1	61.22%	3.1	7.15%	15.8	69.06%	87.7	62.09%	77.17%	0.4	2.1	1.8	0.0	3.7	0.0	161.6	142.4	6.4	5.7	89.89%	86.21%	0.00%	86.21%	0.00%	38.3	43.5	38.3	28.4	12.3	0.431	3.1	3.6	2.1	56.86%	2.6	2.5	0.5	0.4	2.5	97.22%	71.43%	2.8	0.4	0.0	25.7	2.6	0.0	90.7%	5.6	7.1	7.0	8.2	0.4	12.8	15.2	350.1	65.9	5.3	20.6	13.3	4.6	1.6	0.8	28:32	47.56%	0.312	34.41%	47.83%	0.06	0.8	21.9	73.3	4.2	0.7	3.4	33.15%	22.73%	20.49%	20.93%	41.5	25.6	15.9	61.79%	276.8	6.7	10.8	13.9	2.1	65.91%	92.1	5.83%	66.85%	79.07%	2.6	67.71%	0.4	2.5	2.1	0.0	4.0	0.0	190.6	177.1	6.0	4.6	76.19%	82.86%	0.00%	82.86%	0.00%	44.3	47.7	44.3	1.7	1.4	0.6	0.7	0.0	2.4	-0.6	0.8	1.7	1.0	0.7	0.1	1.8	4.30%	55.81%	52.63%	58.33%	1.89%	44.19%	41.67%	47.37%	8.2	69.2	1.9	7.3	63.1	2.4	8.4	0.06	8.7	0.05
New Orleans	26.5	+3.7	14.0	0.9	0.422	0.061	2.8	3.6	2.0	55.32%	2.6	2.5	0.2	0.0	2.6	97.06%	0.00%	2.6	0.2	0.1	25.0	1.2	0.5	93.4%	5.5	7.1	6.8	7.1	0.0	12.6	13.8	57.58%	49.12%	53.90%	51.63%	53.35%	52.76%	369.4	62.7	5.9	20.9	12.3	5.2	0.9	0.4	31:50	53.06%	0.334	42.50%	41.67%	0.06	0.7	24.2	108.0	6.1	0.6	4.5	38.53%	21.62%	29.04%	29.24%	36.9	26.2	10.7	71.04%	261.4	7.1	10.0	2.0	70.27%	1.6	4.19%	13.8	66.18%	105.0	61.47%	70.76%	0.2	2.5	2.2	0.0	3.6	0.0	165.8	154.7	5.8	4.6	80.00%	87.88%	0.00%	87.88%	0.00%	42.8	45.9	42.8	22.8	14.9	0.361	2.6	3.2	1.9	59.52%	2.3	2.1	0.2	0.1	2.7	90.00%	33.33%	2.5	0.0	0.1	22.6	0.0	0.5	97.7%	3.5	6.5	5.2	7.5	0.0	10.1	12.7	338.3	63.1	5.4	20.2	13.0	4.6	1.5	0.7	28:09	46.94%	0.320	35.50%	45.00%	0.06	1.0	21.8	94.2	4.6	0.7	4.3	34.63%	26.47%	22.90%	27.85%	37.9	23.8	14.1	62.88%	244.1	6.4	10.2	12.7	1.8	70.59%	90.7	8.02%	65.37%	72.15%	3.3	62.98%	0.1	1.8	1.6	0.0	4.1	0.1	175.2	150.7	5.1	2.8	56.06%	91.30%	0.00%	91.30%	1.89%	37.0	43.8	37.7	0.5	0.6	0.2	0.5	0.1	0.6	+0.8	0.8	1.0	0.6	0.4	0.0	1.5	1.25%	66.67%	75.00%	61.54%	2.23%	33.33%	38.46%	25.00%	7.7	66.9	1.0	5.7	42.6	2.8	8.7	0.06	7.5	0.05
Dallas	27.0	+6.4	16.1	-0.3	0.404	0.079	3.1	3.5	2.1	59.18%	2.9	2.9	0.2	0.1	2.1	100.00%	66.67%	3.1	0.1	0.0	26.4	0.5	0.0	98.1%	4.4	8.5	5.1	9.1	0.0	12.9	14.1	50.33%	52.96%	46.58%	47.56%	51.65%	47.07%	434.0	66.8	6.5	24.4	12.5	6.1	0.9	0.4	29:36	49.36%	0.365	48.57%	38.46%	0.05	0.6	28.4	134.0	7.6	1.2	4.7	42.46%	38.64%	31.38%	30.88%	37.1	24.3	12.9	65.38%	300.0	8.1	12.4	1.9	59.09%	1.3	3.35%	14.6	59.82%	99.2	57.54%	69.12%	0.1	2.4	1.6	0.1	3.1	0.1	127.1	114.8	5.6	3.0	53.85%	69.70%	3.03%	71.88%	2.33%	37.4	42.4	38.3	20.6	15.7	0.325	2.3	3.6	1.9	52.00%	2.0	1.9	0.3	0.1	2.5	92.86%	50.00%	2.3	0.0	0.0	20.7	0.0	0.0	100.0%	4.9	6.8	4.6	4.2	0.0	11.7	8.9	323.6	63.2	5.1	20.8	12.5	4.3	1.3	0.7	30:23	50.64%	0.329	34.29%	55.56%	0.07	1.1	25.5	103.6	6.6	0.9	4.1	40.34%	40.62%	31.96%	32.01%	35.1	22.9	12.2	65.24%	220.0	6.3	9.6	11.6	1.4	59.38%	92.6	6.82%	59.66%	67.99%	2.6	55.67%	0.0	1.9	1.6	0.0	4.4	0.0	199.9	187.4	4.7	3.5	74.24%	84.62%	0.00%	84.62%	0.00%	43.0	45.9	43.0	0.8	0.9	0.4	0.6	0.0	1.1	-0.1	0.4	1.2	0.6	0.6	0.0	1.1	2.12%	56.67%	61.54%	52.94%	1.22%	43.33%	47.06%	38.46%	6.9	64.8	2.1	6.9	58.2	2.6	9.4	0.05	8.5	0.05
New England	26.6	+13.6	13.2	7.6	0.384	0.165	3.1	3.8	1.9	49.06%	2.9	2.5	0.2	0.1	2.3	85.37%	33.33%	2.6	0.4	0.1	23.4	2.6	1.0	86.5%	7.9	6.0	6.9	5.7	0.0	13.9	12.6	50.37%	53.75%	51.65%	54.83%	52.06%	53.24%	349.9	69.3	5.0	21.2	14.6	5.5	0.9	0.4	31:35	52.65%	0.306	37.75%	38.46%	0.08	1.1	27.5	101.8	6.6	1.1	3.7	39.69%	34.09%	30.98%	29.09%	39.9	24.0	15.9	60.22%	248.1	6.2	10.3	1.6	50.00%	1.9	4.62%	12.7	59.93%	86.8	60.31%	70.91%	0.5	2.1	1.6	0.1	5.4	0.0	240.5	221.1	5.8	3.6	62.96%	76.67%	6.67%	82.14%	0.00%	41.3	44.9	41.3	12.9	20.8	0.219	1.4	1.6	0.8	50.00%	1.4	1.4	0.0	0.0	2.6	95.00%	--	1.1	0.3	0.0	11.0	2.0	0.0	84.6%	2.9	4.9	2.6	2.6	0.0	7.7	5.2	268.4	59.1	4.5	15.8	12.3	2.9	1.4	0.5	28:24	47.35%	0.267	23.26%	36.84%	0.10	2.4	22.9	98.1	4.4	0.4	4.3	38.69%	30.00%	27.60%	36.55%	33.3	18.6	14.6	56.01%	170.3	5.1	9.1	8.8	0.7	50.00%	57.4	8.09%	61.31%	63.45%	2.9	55.66%	0.3	1.1	1.0	0.0	5.7	0.3	243.7	224.5	3.5	1.7	48.98%	87.50%	0.00%	87.50%	5.00%	39.3	44.9	41.4	0.6	0.6	0.3	0.4	0.1	0.9	+1.7	1.8	1.7	0.8	0.9	0.0	2.6	1.43%	48.48%	55.56%	45.83%	5.36%	51.52%	54.17%	44.44%	6.1	53.1	1.9	6.9	59.9	2.6	8.8	0.05	8.7	0.05
Tennessee	24.2	+4.3	14.6	3.6	0.408	0.106	3.2	2.9	2.1	73.17%	3.1	2.9	0.1	0.1	1.3	95.35%	50.00%	2.9	0.2	0.1	22.2	1.6	0.5	91.2%	3.4	5.0	6.9	8.9	0.0	8.4	15.8	44.98%	43.06%	51.48%	50.46%	44.02%	50.97%	352.9	59.4	5.9	19.6	11.6	4.3	0.9	0.3	28:29	47.50%	0.331	37.04%	30.77%	0.08	1.3	27.1	130.6	6.2	1.2	4.8	45.73%	37.78%	31.64%	37.02%	28.6	19.0	9.6	66.50%	222.3	7.8	11.7	1.7	53.33%	3.6	11.31%	11.1	56.36%	105.2	54.27%	62.98%	0.3	1.3	0.6	0.1	4.8	0.0	227.4	208.6	4.8	2.4	49.25%	44.44%	11.11%	50.00%	0.00%	43.6	47.5	43.6	19.9	18.2	0.302	2.3	3.0	1.9	64.29%	2.0	1.6	0.3	0.1	2.3	82.14%	50.00%	2.3	0.0	0.0	20.3	0.0	0.0	100.0%	4.8	6.4	4.2	4.6	0.0	11.1	8.8	362.4	66.1	5.5	20.9	12.9	4.8	1.4	0.6	31:30	52.50%	0.316	37.22%	40.00%	0.07	1.2	26.2	104.4	5.8	0.7	4.0	39.68%	31.25%	27.74%	28.79%	37.3	24.1	13.2	64.56%	258.1	6.9	10.7	13.3	1.6	68.75%	90.1	6.45%	60.32%	71.21%	2.6	63.70%	0.0	1.9	1.4	0.2	4.4	0.0	200.6	184.6	4.8	3.0	62.69%	76.92%	11.54%	86.96%	0.00%	42.4	46.0	42.4	0.6	1.4	0.6	0.9	0.1	1.1	+0.4	0.9	1.1	0.6	0.4	0.0	1.6	2.00%	60.00%	60.00%	60.00%	2.49%	40.00%	40.00%	40.00%	6.3	59.9	2.4	7.8	65.7	1.8	9.5	0.05	8.4	0.06
Seattle	26.5	+1.9	14.6	0.7	0.404	0.019	3.2	3.9	2.4	62.96%	2.9	2.6	0.3	0.1	2.4	90.00%	50.00%	3.0	0.2	0.0	25.5	1.5	0.0	94.4%	5.0	7.9	5.4	7.6	0.6	12.9	13.0	46.94%	57.00%	49.02%	53.72%	51.97%	52.24%	387.1	65.6	5.9	21.5	12.4	5.0	0.7	0.4	31:00	51.67%	0.328	40.23%	60.00%	0.07	1.0	30.8	141.7	7.9	1.0	4.6	46.90%	31.11%	36.88%	36.61%	31.9	21.4	10.4	67.26%	245.4	7.7	11.4	2.0	62.22%	3.0	8.61%	11.8	54.82%	108.1	53.10%	63.39%	0.2	1.9	1.5	0.0	4.6	0.0	205.6	186.5	5.5	4.0	72.73%	80.77%	0.00%	80.77%	0.00%	40.8	45.0	40.8	24.6	15.4	0.385	2.9	3.4	2.1	61.70%	2.4	2.1	0.5	0.1	2.1	90.91%	28.57%	2.5	0.4	0.1	22.0	2.5	0.5	88.0%	5.3	7.2	3.4	8.8	0.0	12.5	12.1	378.3	64.1	5.9	21.9	11.6	4.4	0.8	0.4	28:59	48.33%	0.342	38.27%	54.55%	0.06	0.8	23.1	107.3	5.6	1.2	4.6	36.12%	41.46%	25.73%	28.36%	39.2	25.0	14.2	63.75%	271.0	6.9	10.8	14.6	1.3	43.90%	84.0	4.19%	63.88%	71.64%	1.7	66.45%	0.4	2.1	1.5	0.1	3.6	0.1	165.0	154.9	5.5	3.9	70.13%	70.00%	3.33%	72.41%	1.96%	42.5	46.2	43.4	0.4	1.6	0.9	0.6	0.0	1.4	+0.9	1.1	1.7	1.1	0.6	0.0	2.3	1.35%	54.35%	40.91%	66.67%	2.91%	45.65%	33.33%	59.09%	6.9	57.0	1.8	5.9	49.6	1.7	8.2	0.05	8.4	0.05
LA Rams	23.7	+1.9	15.6	-0.2	0.366	0.041	2.7	3.7	2.2	59.62%	2.4	2.4	0.3	0.1	2.3	100.00%	25.00%	2.4	0.3	0.0	21.7	2.1	0.0	91.0%	3.0	8.4	6.1	6.2	0.0	11.4	12.3	42.21%	51.41%	46.93%	47.50%	46.81%	47.21%	369.9	64.7	5.7	20.9	12.6	4.8	0.9	0.2	28:12	47.01%	0.323	37.85%	25.00%	0.06	0.9	24.6	93.9	5.9	1.2	3.8	37.97%	44.74%	27.99%	25.37%	38.6	24.4	14.3	63.03%	276.1	7.1	11.3	1.2	44.74%	1.5	3.74%	13.4	64.16%	83.8	62.03%	74.63%	0.3	2.1	1.6	0.1	4.1	0.1	193.3	174.0	5.2	4.1	78.08%	75.86%	3.45%	78.57%	1.75%	42.7	48.3	43.5	21.9	15.4	0.326	2.5	3.1	2.0	63.64%	2.4	2.4	0.1	0.0	2.3	97.06%	0.00%	2.3	0.2	0.0	20.5	1.5	0.0	93.2%	3.9	6.6	4.5	6.9	0.0	10.5	11.4	336.2	67.1	5.0	20.2	14.1	5.5	1.7	1.0	31:47	52.99%	0.301	38.89%	58.33%	0.07	1.2	28.9	115.6	6.4	0.9	4.0	43.02%	34.29%	31.80%	34.40%	35.1	21.8	13.4	61.99%	220.6	6.3	10.1	12.1	1.4	57.14%	88.1	8.04%	56.98%	65.60%	3.1	59.72%	0.2	1.9	1.5	0.0	4.6	0.0	203.7	190.1	4.9	3.5	71.01%	77.78%	0.00%	77.78%	0.00%	40.9	43.9	40.9	1.1	1.1	0.5	0.6	0.1	1.6	-0.4	0.6	1.3	0.6	0.7	0.0	1.2	2.96%	48.48%	53.33%	44.44%	1.83%	51.52%	55.56%	46.67%	7.2	54.6	1.6	6.7	52.9	1.7	7.6	0.05	7.9	0.05
